obstime,tempr,ap,ws,wd,rh
16-01-2012 12:00:00 PM,2.6,980.9,17.3,-999,-999
16-01-2012 01:00:00 PM,2.1,981.2,19.9,-999,-999
16-01-2012 02:00:00 PM,2.0,981.4,19.5,-999,-999
16-01-2012 03:00:00 PM,1.3,981.5,18.7,-999,-999
16-01-2012 04:00:00 PM,0.8,981.5,20.0,-999,-999
16-01-2012 05:00:00 PM,0.6,981.4,16.0,-999,-999
16-01-2012 06:00:00 PM,-0.2,981.4,15.7,-999,-999
16-01-2012 07:00:00 PM,-0.7,981.7,12.0,-999,-999
16-01-2012 08:00:00 PM,-1.1,982.1,10.1,-999,-999
16-01-2012 09:00:00 PM,-1.7,982.1,12.0,-999,-999
16-01-2012 10:00:00 PM,-2.2,982.2,14.5,-999,-999
16-01-2012 11:00:00 PM,-2.8,982.3,13.3,-999,-999
17-01-2012 12:00:00 AM,-3.0,982.4,14.3,-999,-999
17-01-2012 01:00:00 AM,-3.1,982.4,15.8,-999,-999
17-01-2012 02:00:00 AM,-3.4,982.6,18.9,-999,-999
17-01-2012 03:00:00 AM,-2.7,982.6,16.6,-999,-999
17-01-2012 04:00:00 AM,-2.7,982.4,22.6,-999,-999
17-01-2012 05:00:00 AM,-2.6,982.4,23.9,-999,-999
17-01-2012 06:00:00 AM,-2.4,982.5,23.2,-999,-999
17-01-2012 07:00:00 AM,-1.6,982.8,19.9,-999,-999
17-01-2012 08:00:00 AM,-1.4,983.1,16.1,-999,-999
17-01-2012 09:00:00 AM,-0.8,983.2,18.6,-999,-999
17-01-2012 10:00:00 AM,-0.7,983.3,19.3,-999,-999
17-01-2012 11:00:00 AM,-0.2,983.4,17.9,-999,-999
17-01-2012 12:00:00 PM,0.4,983.3,15.5,-999,-999
17-01-2012 01:00:00 PM,0.7,983.5,16.0,-999,-999
17-01-2012 02:00:00 PM,1.0,983.8,13.4,-999,-999
17-01-2012 03:00:00 PM,0.7,984.0,18.3,-999,-999
17-01-2012 04:00:00 PM,0.4,983.8,14.2,-999,-999
17-01-2012 05:00:00 PM,0.2,983.8,13.9,-999,-999
